3.44 285.00
3.77 297.00
4.13 303.00
4.47 306.00
4.80 307.00
5.13 304.00
5.48 308.00
5.83 313.00
6.16 314.00
6.51 315.00
6.86 317.00
7.18 320.00
7.51 316.00
7.85 318.00
8.21 321.00
8.57 323.00
8.90 321.00
9.24 323.00
9.60 323.00
9.93 322.00
10.27 321.00
10.60 323.00
10.93 322.00
11.27 321.00
12.31 323.00
14.35 319.00
16.40 308.00
18.48 299.00
20.57 299.00
22.51 298.00
24.59 296.00
26.68 293.00
28.77 289.00
30.70 289.00
32.79 288.00
34.88 285.00
36.96 283.00
38.90 275.00
40.99 272.00
43.08 271.00
45.16 274.00
47.10 277.00
49.19 281.00
51.27 286.00
53.36 282.00
55.30 283.00
57.38 288.00
59.47 287.00
61.56 289.00
63.64 294.00
