0.16 24.50
0.26 35.30
0.36 43.20
0.46 52.00
0.56 60.90
0.66 65.80
0.76 71.70
0.86 74.60
0.96 74.60
1.06 76.60
1.16 78.50
1.27 83.40
1.36 86.40
1.47 87.40
1.57 90.30
1.67 93.30
1.77 93.30
1.87 95.20
1.97 97.20
2.08 99.10
2.18 98.20
2.28 98.20
2.37 98.20
2.47 97.20
2.57 98.20
2.68 98.20
2.78 98.20
2.88 99.10
2.98 100.00
3.08 102.00
3.19 101.00
3.29 101.00
3.39 103.00
3.49 107.00
3.59 110.00
3.69 112.00
3.79 114.00
3.90 118.00
3.99 118.00
4.47 118.00
4.97 121.00
5.47 124.00
5.96 125.00
6.46 126.00
6.96 126.00
7.45 126.00
7.95 126.00
8.45 127.00
8.94 128.00
9.44 128.00
9.94 127.00
10.43 127.00
10.93 128.00
11.43 130.00
11.92 130.00
12.42 132.00
12.92 133.00
13.42 133.00
13.91 133.00
14.41 133.00
14.91 134.00
15.40 134.00
15.90 133.00
16.40 134.00
16.89 134.00
17.39 136.00
17.89 136.00
18.38 135.00
18.88 133.00
19.38 134.00
19.87 136.00
20.37 135.00
20.87 134.00
